date,sensor_id,output_path,raw_acc_rows,acc_1s_rows,raw_hr_rows,hr_1s_rows,merged_rows,first_timestamp,last_timestamp
2026-06-01,V011,D:\Google Drive\Eduacation\2026SS\月2_SHL\第７回\2026_06_01\2026_06_01\2026_06_01_V011_merged.csv,500040,9347,9343,9343,3866,2026-06-01 10:40:00,2026-06-01 11:44:25
2026-06-01,V012,D:\Google Drive\Eduacation\2026SS\月2_SHL\第７回\2026_06_01\2026_06_01\2026_06_01_V012_merged.csv,475460,9341,9337,9337,3873,2026-06-01 10:40:00,2026-06-01 11:44:32
2026-06-01,V013,D:\Google Drive\Eduacation\2026SS\月2_SHL\第７回\2026_06_01\2026_06_01\2026_06_01_V013_merged.csv,478060,9340,9338,9326,3884,2026-06-01 10:40:00,2026-06-01 11:44:43
2026-06-01,V014,D:\Google Drive\Eduacation\2026SS\月2_SHL\第７回\2026_06_01\2026_06_01\2026_06_01_V014_merged.csv,462280,9338,9336,9336,3891,2026-06-01 10:40:00,2026-06-01 11:44:50
2026-06-01,V015,D:\Google Drive\Eduacation\2026SS\月2_SHL\第７回\2026_06_01\2026_06_01\2026_06_01_V015_merged.csv,439913,8694,8488,8092,3900,2026-06-01 10:40:00,2026-06-01 11:44:59
2026-06-01,V016,D:\Google Drive\Eduacation\2026SS\月2_SHL\第７回\2026_06_01\2026_06_01\2026_06_01_V016_merged.csv,474320,9344,9339,9338,3909,2026-06-01 10:40:00,2026-06-01 11:45:08
2026-06-01,V017,D:\Google Drive\Eduacation\2026SS\月2_SHL\第７回\2026_06_01\2026_06_01\2026_06_01_V017_merged.csv,466200,9343,9340,9340,3916,2026-06-01 10:40:00,2026-06-01 11:45:15
2026-06-01,V018,D:\Google Drive\Eduacation\2026SS\月2_SHL\第７回\2026_06_01\2026_06_01\2026_06_01_V018_merged.csv,476600,9722,9720,9634,3924,2026-06-01 10:40:00,2026-06-01 11:45:23
2026-06-01,V019,D:\Google Drive\Eduacation\2026SS\月2_SHL\第７回\2026_06_01\2026_06_01\2026_06_01_V019_merged.csv,490520,9350,9347,9347,3934,2026-06-01 10:40:00,2026-06-01 11:45:33
2026-06-01,V020,D:\Google Drive\Eduacation\2026SS\月2_SHL\第７回\2026_06_01\2026_06_01\2026_06_01_V020_merged.csv,473800,9351,9348,9347,3941,2026-06-01 10:40:00,2026-06-01 11:45:40
2026-06-01,V021,D:\Google Drive\Eduacation\2026SS\月2_SHL\第７回\2026_06_01\2026_06_01\2026_06_01_V021_merged.csv,478060,9349,9345,9345,3952,2026-06-01 10:40:00,2026-06-01 11:45:51
2026-06-01,V022,D:\Google Drive\Eduacation\2026SS\月2_SHL\第７回\2026_06_01\2026_06_01\2026_06_01_V022_merged.csv,504820,9346,9345,9258,3961,2026-06-01 10:40:00,2026-06-01 11:46:00
2026-06-01,V023,D:\Google Drive\Eduacation\2026SS\月2_SHL\第７回\2026_06_01\2026_06_01\2026_06_01_V023_merged.csv,473160,9350,9346,9346,3968,2026-06-01 10:40:00,2026-06-01 11:46:07
2026-06-01,V024,D:\Google Drive\Eduacation\2026SS\月2_SHL\第７回\2026_06_01\2026_06_01\2026_06_01_V024_merged.csv,503760,9346,9342,9342,3982,2026-06-01 10:40:00,2026-06-01 11:46:21
2026-06-01,V025,D:\Google Drive\Eduacation\2026SS\月2_SHL\第７回\2026_06_01\2026_06_01\2026_06_01_V025_merged.csv,479260,9349,9345,9344,3987,2026-06-01 10:40:00,2026-06-01 11:46:26
2026-06-01,V026,D:\Google Drive\Eduacation\2026SS\月2_SHL\第７回\2026_06_01\2026_06_01\2026_06_01_V026_merged.csv,456600,9349,9346,9346,3997,2026-06-01 10:40:00,2026-06-01 11:46:36
2026-06-01,V027,D:\Google Drive\Eduacation\2026SS\月2_SHL\第７回\2026_06_01\2026_06_01\2026_06_01_V027_merged.csv,469540,9351,9347,9346,4005,2026-06-01 10:40:00,2026-06-01 11:46:44
2026-06-01,V028,D:\Google Drive\Eduacation\2026SS\月2_SHL\第７回\2026_06_01\2026_06_01\2026_06_01_V028_merged.csv,495580,9351,9347,9347,4018,2026-06-01 10:40:00,2026-06-01 11:46:57
2026-06-01,V029,D:\Google Drive\Eduacation\2026SS\月2_SHL\第７回\2026_06_01\2026_06_01\2026_06_01_V029_merged.csv,510780,9351,9348,9348,4026,2026-06-01 10:40:00,2026-06-01 11:47:05
2026-06-01,V030,D:\Google Drive\Eduacation\2026SS\月2_SHL\第７回\2026_06_01\2026_06_01\2026_06_01_V030_merged.csv,499920,9349,9346,9345,4031,2026-06-01 10:40:00,2026-06-01 11:47:10
2026-06-01,V031,D:\Google Drive\Eduacation\2026SS\月2_SHL\第７回\2026_06_01\2026_06_01\2026_06_01_V031_merged.csv,499400,9351,9346,9346,4040,2026-06-01 10:40:00,2026-06-01 11:47:19
2026-06-01,V032,D:\Google Drive\Eduacation\2026SS\月2_SHL\第７回\2026_06_01\2026_06_01\2026_06_01_V032_merged.csv,499860,9352,9348,9348,4049,2026-06-01 10:40:00,2026-06-01 11:47:28
2026-06-01,V033,D:\Google Drive\Eduacation\2026SS\月2_SHL\第７回\2026_06_01\2026_06_01\2026_06_01_V033_merged.csv,479980,9083,9080,9080,3790,2026-06-01 10:40:00,2026-06-01 11:43:09
2026-06-01,V034,D:\Google Drive\Eduacation\2026SS\月2_SHL\第７回\2026_06_01\2026_06_01\2026_06_01_V034_merged.csv,494720,9344,9340,9340,4062,2026-06-01 10:40:00,2026-06-01 11:47:41
2026-06-01,V035,D:\Google Drive\Eduacation\2026SS\月2_SHL\第７回\2026_06_01\2026_06_01\2026_06_01_V035_merged.csv,453780,9338,9336,9336,4073,2026-06-01 10:40:00,2026-06-01 11:47:52
2026-06-01,V036,D:\Google Drive\Eduacation\2026SS\月2_SHL\第７回\2026_06_01\2026_06_01\2026_06_01_V036_merged.csv,475960,9334,9332,9328,4078,2026-06-01 10:40:00,2026-06-01 11:47:57
2026-06-01,V037,D:\Google Drive\Eduacation\2026SS\月2_SHL\第７回\2026_06_01\2026_06_01\2026_06_01_V037_merged.csv,497820,9332,9329,9212,4087,2026-06-01 10:40:00,2026-06-01 11:48:06
2026-06-01,V038,D:\Google Drive\Eduacation\2026SS\月2_SHL\第７回\2026_06_01\2026_06_01\2026_06_01_V038_merged.csv,490960,9328,9326,9177,4099,2026-06-01 10:40:00,2026-06-01 11:48:18
2026-06-01,V039,D:\Google Drive\Eduacation\2026SS\月2_SHL\第７回\2026_06_01\2026_06_01\2026_06_01_V039_merged.csv,461760,9324,9322,9172,4105,2026-06-01 10:40:00,2026-06-01 11:48:24
2026-06-01,V040,D:\Google Drive\Eduacation\2026SS\月2_SHL\第７回\2026_06_01\2026_06_01\2026_06_01_V040_merged.csv,504820,9319,9315,9257,4112,2026-06-01 10:40:00,2026-06-01 11:48:31
2026-06-01,V041,D:\Google Drive\Eduacation\2026SS\月2_SHL\第７回\2026_06_01\2026_06_01\2026_06_01_V041_merged.csv,347910,6613,6544,4989,4121,2026-06-01 10:40:00,2026-06-01 11:48:40
2026-06-01,V042,D:\Google Drive\Eduacation\2026SS\月2_SHL\第７回\2026_06_01\2026_06_01\2026_06_01_V042_merged.csv,260940,4920,4918,4862,0,,
